,Date,itx,Close,PositionCost,PositionType,AssetsFund,AssetsIncrease,IdleFund,TotalFund,TotalInterest
0,2012-01-04,1.0,3.972811222076416,-1.0,0,0.0,-0.0,1.0,1.0,0.0
1,2012-01-05,2.0,4.086184978485107,-1.0,0,0.0,-0.0,1.0,1.0,0.0
2,2012-01-06,3.0,4.114528656005859,-1.0,0,0.0,-0.0,1.0,1.0,0.0
3,2012-01-09,4.0,4.227902412414551,-1.0,0,0.0,-0.0,1.0,1.0,0.0
4,2012-01-10,5.0,4.284589767456055,-1.0,0,0.0,-0.0,1.0,1.0,0.0
5,2012-01-11,6.0,4.251522064208984,-1.0,0,0.0,-0.0,1.0,1.0,0.0
6,2012-01-12,7.0,4.294037342071533,-1.0,0,0.0,-0.0,1.0,1.0,0.0
7,2012-01-13,8.0,4.2704176902771,-1.0,0,0.0,-0.0,1.0,1.0,0.0
8,2012-01-16,9.0,4.2373504638671875,-1.0,0,0.0,-0.0,1.0,1.0,0.0
9,2012-01-17,10.0,4.346000671386719,-1.0,0,0.0,-0.0,1.0,1.0,0.0
10,2012-01-18,11.0,4.2704176902771,-1.0,0,0.0,-0.0,1.0,1.0,0.0
11,2012-01-19,12.0,4.346000671386719,-1.0,0,0.0,-0.0,1.0,1.0,0.0
12,2012-01-20,13.0,4.449926853179932,-1.0,0,0.0,-0.0,1.0,1.0,0.0
13,2012-01-30,14.0,4.355448246002197,-1.0,0,0.0,-0.0,1.0,1.0,0.0
14,2012-01-31,15.0,4.355448246002197,-1.0,0,0.0,-0.0,1.0,1.0,0.0
15,2012-02-01,16.0,4.289313316345215,-1.0,0,0.0,-0.0,1.0,1.0,0.0
16,2012-02-02,17.0,4.440478324890137,-1.0,0,0.0,-0.0,1.0,1.0,0.0
17,2012-02-03,18.0,4.45937442779541,-1.0,0,0.0,-0.0,1.0,1.0,0.0
18,2012-02-06,19.0,4.435754776000977,-1.0,0,0.0,-0.0,1.0,1.0,0.0
19,2012-02-07,20.0,4.364895820617676,-1.0,0,0.0,-0.0,1.0,1.0,0.0
20,2012-02-08,21.0,4.4640984535217285,-1.0,0,0.0,-0.0,1.0,1.0,0.0
21,2012-02-09,22.0,4.440478324890137,-1.0,0,0.0,-0.0,1.0,1.0,0.0
22,2012-02-10,23.0,4.42630672454834,-1.0,0,0.0,-0.0,1.0,1.0,0.0
23,2012-02-13,24.0,4.379067897796631,-1.0,0,0.0,-0.0,1.0,1.0,0.0
24,2012-02-14,25.0,4.3412766456604,-1.0,0,0.0,-0.0,1.0,1.0,0.0
25,2012-02-15,26.0,4.360172271728516,-1.0,0,0.0,-0.0,1.0,1.0,0.0
26,2012-02-16,27.0,4.3412766456604,-1.0,0,0.0,-0.0,1.0,1.0,0.0
27,2012-02-17,28.0,4.3743438720703125,-1.0,0,0.0,-0.0,1.0,1.0,0.0
28,2012-02-20,29.0,4.3743438720703125,-1.0,0,0.0,-0.0,1.0,1.0,0.0
29,2012-02-21,30.0,4.383791446685791,-1.0,0,0.0,-0.0,1.0,1.0,0.0
30,2012-02-22,31.0,4.4026875495910645,-1.0,0,0.0,-0.0,1.0,1.0,0.0
31,2012-02-23,32.0,4.407411575317383,-1.0,0,0.0,-0.0,1.0,1.0,0.0
32,2012-02-24,33.0,4.492441654205322,-1.0,0,0.0,-0.0,1.0,1.0,0.0
33,2012-02-27,34.0,4.478270053863525,-1.0,0,0.0,-0.0,1.0,1.0,0.0
34,2012-02-28,35.0,4.563300132751465,-1.0,0,0.0,-0.0,1.0,1.0,0.0
35,2012-02-29,36.0,4.506613254547119,-1.0,0,0.0,-0.0,1.0,1.0,0.0
36,2012-03-01,37.0,4.511337757110596,-1.0,0,0.0,-0.0,1.0,1.0,0.0
37,2012-03-02,38.0,4.57747220993042,-1.0,0,0.0,-0.0,1.0,1.0,0.0
38,2012-03-05,39.0,4.525509357452393,-1.0,0,0.0,-0.0,1.0,1.0,0.0
39,2012-03-06,40.0,4.45937442779541,-1.0,0,0.0,-0.0,1.0,1.0,0.0
40,2012-03-07,41.0,4.412135601043701,-1.0,0,0.0,-0.0,1.0,1.0,0.0
41,2012-03-08,42.0,4.468822479248047,-1.0,0,0.0,-0.0,1.0,1.0,0.0
42,2012-03-09,43.0,4.473546504974365,-1.0,0,0.0,-0.0,1.0,1.0,0.0
43,2012-03-12,44.0,4.431030750274658,-1.0,0,0.0,-0.0,1.0,1.0,0.0
