,date,itx,OperationPrice,OperationType,OperationName,Profit,Position
0,2010-07-29,128,5.413369178771973,1,开多,0.0,0.0
1,2010-09-01,152,5.0220842361450195,2,平多,-0.07228122260002899,0.0
2,2010-10-29,185,5.1979827880859375,1,开多,0.0,0.27380952380952384
3,2010-11-16,197,4.67746639251709,4,平空,-0.10013815297001365,0.0
4,2011-02-09,252,4.533875942230225,1,开多,0.0,0.847682119205298
5,2011-02-17,258,4.69541597366333,2,平多,0.03562956584860669,0.0
6,2011-02-21,260,4.670287609100342,1,开多,0.0,0.5723270440251572
7,2011-05-30,326,4.953878879547119,2,平多,0.060722442423927464,0.0
8,2011-11-07,434,4.33655309677124,1,开多,0.0,1.0
9,2011-11-30,451,4.015326499938965,2,平多,-0.07407417588670669,0.0
10,2012-01-31,488,4.355448246002197,1,开多,0.0,0.8372093023255813
11,2012-04-05,532,4.218454837799072,2,平多,-0.03145334313841733,0.0
12,2012-05-11,556,4.327104568481445,1,开多,0.0,1.0
13,2012-05-22,563,4.232626438140869,2,平多,-0.02183402985653576,0.0
14,2012-11-02,674,3.763169527053833,1,开多,0.0,1.0
15,2013-04-01,772,4.924459934234619,2,平多,0.3085936997608382,0.0
16,2013-06-05,814,4.990623950958252,1,开多,0.0,0.8359046283309958
17,2013-06-13,817,4.664812088012695,4,平空,-0.06528479527755189,0.0
18,2013-08-29,872,4.613095283508301,1,开多,0.0,0.8728923476005188
19,2013-11-25,927,5.135429859161377,2,平多,0.11322865528496866,0.0
20,2014-04-03,1013,5.000967502593994,1,开多,0.0,0.8914473684210527
21,2014-06-09,1056,4.933736324310303,2,平多,-0.013443634306525426,0.0
22,2014-07-23,1088,5.040202617645264,1,开多,0.0,1.0
23,2015-03-02,1233,8.037680625915527,2,平多,0.5947137914210794,0.0
24,2015-03-30,1253,8.89251708984375,1,开多,0.0,0.38107638888888884
25,2015-07-10,1317,10.037038803100586,2,平多,0.1287061584131233,0.0
26,2015-10-09,1375,9.235469818115234,1,开多,0.0,0.44034536891679754
27,2016-01-19,1439,10.321654319763184,2,平多,0.11761009705401394,0.0
28,2016-04-12,1475,10.234526634216309,1,开多,0.0,0.33551673944687044
29,2016-05-24,1504,10.193866729736328,2,平多,-0.003972817301002015,0.0
30,2016-06-16,1519,10.339077949523926,1,开多,0.0,0.4026798307475318
31,2016-07-06,1533,10.28908634185791,2,平多,-0.004835209475165776,0.0
32,2016-07-25,1546,10.321978569030762,1,开多,0.0,0.4477508650519031
33,2016-11-04,1613,10.789066314697266,2,平多,0.04525176472153474,0.0
34,2016-11-18,1623,10.92064094543457,1,开多,0.0,0.3843626806833115
35,2016-12-20,1645,10.710123062133789,4,平空,-0.01927706298125197,0.0
36,2017-02-17,1682,10.946955680847168,1,开多,0.0,0.37824161922833655
37,2017-03-20,1703,10.618021011352539,2,平多,-0.030048049803484102,0.0
38,2017-06-06,1754,11.09033489227295,1,开多,0.0,0.32486388384754994
39,2017-08-23,1810,10.891056060791016,2,平多,-0.01796869376963347,0.0
40,2017-10-19,1846,11.37625789642334,1,开多,0.0,0.23724928366762177
41,2017-11-08,1860,10.899720191955566,2,平多,-0.04188879232577836,0.0
42,2017-12-06,1880,11.228964805603027,1,开多,0.0,0.2551995503091624
43,2017-12-25,1893,10.908384323120117,2,平多,-0.028549424460120043,0.0
44,2018-01-19,1911,11.471565246582031,1,开多,0.0,0.2066298342541436
45,2018-03-05,1937,10.761090278625488,2,平多,-0.06193356814740081,0.0
46,2018-08-14,2048,8.808351516723633,1,开多,0.0,0.70929635336415
47,2018-12-20,2134,8.974711418151855,4,平空,0.018886610180391863,0.0
48,2019-02-14,2167,9.473793029785156,1,开多,0.0,0.6427879961277831
49,2019-05-21,2231,9.91158390045166,2,平多,0.046210727771876604,0.0
50,2019-06-18,2250,10.671069145202637,1,开多,0.0,0.5788738948348069
51,2019-08-06,2285,10.0120267868042,4,平空,-0.06175973086021295,0.0
52,2019-09-16,2313,10.770377159118652,1,开多,0.0,0.5863471971066907
53,2019-12-02,2363,10.716209411621094,2,平多,-0.005029326893320343,0.0
54,2020-01-10,2391,11.185665130615234,1,开多,0.0,0.5637554585152839
55,2020-01-22,2399,10.625929832458496,4,平空,-0.0500404125834895,0.0
56,2020-05-28,2480,9.506460189819336,1,开多,0.0,0.7759562841530054
57,2020-09-02,2547,9.690871238708496,2,平多,0.019398497990519094,0.0
58,2020-12-02,2606,9.75750732421875,1,开多,0.0,0.688622754491018
59,2021-01-07,2631,9.338648796081543,2,平多,-0.0429267961805751,0.0
60,2021-01-14,2636,9.39576530456543,1,开多,0.0,0.729388560157791
61,2021-04-28,2704,9.75750732421875,2,平多,0.03850053805383462,0.0
